"Year,month",subcategory,Leads_per_ad
2020-02,Moms & Kids,6.4724532873058624
2020-02,Motorcycle Accessories & Parts,6.402303545719857
2020-02,Motorcycles,10.166801303718366
2020-02,Music Instruments,5.755624644977031
2020-02,Music/Movies/Books/Magazines,5.176778356281238
2020-02,Other Accessories & Parts,6.771011091123212
2020-02,Others,6.204988490000838
2020-02,Pets,6.778536996122344
2020-02,Professional/Business Equipment,6.612131369143288
2020-02,Rooms,8.783200015601157
2020-02,Services,6.590047917614742
2020-02,Shoes,5.86902143072
2020-02,Sports & Outdoors,5.751999942264064
2020-02,TV/Audio/Video,7.300292365586054
2020-02,Textbooks,5.140120160039505
2020-02,Tickets & Vouchers,6.965499280255002
2020-02,Tours and Holidays,6.008994766242539
2020-02,Watches & Fashion Accessories,6.14133092891222
2020-02,Wedding,5.620084737225053
2020-03,Accessories for Phones & Gadgets,7.144468977112221
2020-03,Accommodation & Homestays,5.711305051021434
2020-03,Apartments,7.358164715373351
2020-03,Bags & Wallets,6.3896944615820965
2020-03,Bed & Bath,6.2676875186884775
2020-03,Business for Sale,8.366078802313554
2020-03,Cameras & Photography,6.666442934169926
2020-03,Car Accessories & Parts,6.569876446751672
2020-03,Cars,7.914634024574491
2020-03,Clothes,6.408505230141874
2020-03,Commercial Properties,5.8484531516494025
2020-03,Commercial Vehicle & Boats,7.266771835318292
2020-03,Computers & Accessories,7.229335130439593
2020-03,Food,5.694866258193952
2020-03,Furniture & Decoration,5.820526779298552
2020-03,Games & Consoles,11.381285785711997
2020-03,Garden Items,5.675150100019512
2020-03,Health & Beauty,17.79341083574126
2020-03,Hobby & Collectibles,6.103817348683216
2020-03,Home Appliances & Kitchen,6.783191924544718
2020-03,Houses,7.365788020116244
2020-03,Jobs,10.84957881541598
2020-03,Land,6.053016844424411
2020-03,Mobile Phones & Gadgets,9.986508633959641
2020-03,Moms & Kids,7.322372917470521
2020-03,Motorcycle Accessories & Parts,6.266355918041151
2020-03,Motorcycles,9.029252872197484
2020-03,Music Instruments,5.9129170619922755
2020-03,Music/Movies/Books/Magazines,5.792259620415472
2020-03,Other Accessories & Parts,6.40913957093726
2020-03,Others,6.980124933436111
2020-03,Pets,6.667668475694665
2020-03,Professional/Business Equipment,6.343947655409292
2020-03,Rooms,7.5985117795137205
2020-03,Services,6.908590262881046
2020-03,Shoes,6.75570193950933
2020-03,Sports & Outdoors,6.115600346899016
2020-03,TV/Audio/Video,8.058250919134972
2020-03,Textbooks,6.357000303197201
2020-03,Tickets & Vouchers,6.681925806546319
2020-03,Tours and Holidays,5.6138378182338196
2020-03,Watches & Fashion Accessories,6.386170097825295
2020-03,Wedding,6.019001980368301
2020-04,Accessories for Phones & Gadgets,8.055095325352257
2020-04,Accommodation & Homestays,5.364290877134889
